reaction;J
'HMR_9418';0.210633990012788
'HMR_9421';0
'HMR_9422';0
'HMR_9437';0.142417303292144
'HMR_9440';0.0653549128238905
'HMR_9450';0
'HMR_9456';0.0313318114346974
'HMR_9463';0
'HMR_9608';0
'HMR_9617';0
'HMR_9625';1
'HMR_9641';0.199180140557631
'HMR_9690';1
'HMR_9691';0
'HMR_9728';0
'HMR_9729';0
'HMR_9809';2,34E+08
'HMR_9811';0.236466566781773
'HMR_9815';0.974080643650697
'HPDCACRNt';1
'HXAt3';0.999408680137018
'HXCOAc';0.999408680137018
'HXCOAte';0
'HXCOAx';1
'LNLCCRNtr';1
'LPCHOLt';0
'LYSARGLEUr';0
'LYSARGLEUt';0
'METB0AT3tc';0
'MLTHFte3';0
'NAHCO3_HCLt';0
'NH4t3r';0
'NMNATr';0
'ODECRNte';0
'OROT5Ptr';0
'PAIL_hs_t1e';0
'PCREATte';0.0861158340546363
'PCRNte';0
'PEPtr';0.163429516385036
'PEt';0
'PGLYCt';0
'PGLYCtm';0
'PGLc';0
'PIt8';0.407654268603310
'PMTCRNtr';1
'PPItm';0
'PSERtr';0
'PSt3';0
'PYRSMCT1';0
'RE1905C';0
'RE2426C';0
'RE2675C';0
'RPEc';0
'SPHGNte';0
'SUBERCACT';1
'SUBERCROT';1
'TAURCHAe';0.210633990012788
'THBPTt';0
'THMt3';0
'TYRB0AT3tc';0
'UGT1A10r';0
'XMPtr';0
'XOLEST2te';0
'XYLUDte';4,74E+07
'biomass_human';0
'q10tm';0
'r0193';0
'r0707';0
'r0941';0
'r1147';0
'r1400';0
'r1423';0
'r1431';0
'r1433';0
'r2377';0
