reaction;jaccardindex;KolmogorovSmirnow;KolmogorovSmirenow_pvalue;T - test_pvalue;Anova_pvalue;Wilcoxon_Mann_Whitney_pvalue;Mean;Std;Mode;Median;skew;kurt;Ttest_H;Ttest_pvalue;minFlux_lungmetastasis;minFlux_brainmetastasis;maxFlux_lungmetastasis;maxFlux_brainmetastasis
Acyl-CoA hydrolysis;;;;;;;;;;;;;;;;;;;
HMR_5130;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;5.9775__5.2565;1.9526__1.6215;1.82718__11.6538;5.9127__5.1799;1.979__1.0374;17.5475__9.3512;1;2,31E-172;48.174;41.914;69.628;62.134
HMR_5131;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;17.0392__14.9839;5.566__4.6222;5.2085__-3.5316e-10;16.8544__14.7654;1.979__1.0374;17.5475__9.3512;1;2,31E-172;137.323;119.477;198.478;177.115
HMR_5132;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;10.8915__9.57773;3.5578__2.9545;3.32925__21.2339;10.7733__9.43804;1.979__1.0374;17.5475__9.3512;1;2,31E-172;87.777;7.637;126.867;113.212
HMR_5133;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;7.9771__7.0149;2.6058__2.164;2.43841__15.5522;7.8906__6.9126;1.979__1.0374;17.5475__9.3512;1;2,31E-172;6.429;55.935;92.921;82.919
HMR_5134;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;11.8274__10.4008;3.8635__3.2084;3.61535__23.0587;11.6992__10.2491;1.979__1.0374;17.5475__9.3512;1;2,31E-172;9.532;82.933;13.777;122.941
HMR_5135;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;3.8928__3.4233;1.2716__1.056;1.1899__7.5895;3.8506__3.3734;1.979__1.0374;17.5475__9.3512;1;2,31E-172;31.373;27.296;45.345;40.464
HMR_5136;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;9.1046__8.0064;2.9741__2.4698;2.783__-1.8871e-10;9.0058__7.8896;1.979__1.0374;17.5475__9.3512;1;2,31E-172;73.376;6.384;106.053;94.638
HMR_5137;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;16.6563__14.6472;5.4409__4.5184;5.09141__32.4729;16.4756__14.4336;1.979__1.0374;17.5475__9.3512;1;2,31E-172;134.237;116.792;194.018;173.135
HMR_5138;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;15.3374__13.4874;5.0101__4.1606;4.68826__29.9016;15.171__13.2907;1.979__1.0374;17.5475__9.3512;1;2,31E-172;123.608;107.544;178.655;159.425
HMR_5139;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;4.8501__4.2651;1.5843__1.3157;1.4826__9.4557;4.7975__4.2029;1.979__1.0374;17.5475__9.3512;1;2,31E-172;39.088;34.008;56.496;50.415
HMR_5140;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;9.4024__8.2683;3.0714__2.5506;2.87408__18.3308;9.3004__8.1477;1.979__1.0374;17.5475__9.3512;1;2,31E-172;75.776;65.929;109.522;97.734
